,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),GHGEmissions(MetricTonsCO2e),ENERGYSTARScore
0,NonResidential,Hotel,7,Downtown,1927,1.0,12.0,88434,0,88434,Hotel,88434.0,0.0,0.0,7456910.0,249.98,60.0
1,NonResidential,Hotel,7,Downtown,1996,1.0,11.0,103566,15064,88502,Hotel,83880.0,15064.0,4622.0,8664479.0,295.86,61.0
2,NonResidential,Hotel,7,Downtown,1969,1.0,41.0,956110,196718,759392,Hotel,756493.0,0.0,0.0,73937112.0,2089.28,43.0
3,NonResidential,Hotel,7,Downtown,1926,1.0,10.0,61320,0,61320,Hotel,61320.0,0.0,0.0,6946800.5,286.43,56.0
4,NonResidential,Hotel,7,Downtown,1980,1.0,18.0,175580,62000,113580,Hotel,123445.0,68009.0,0.0,14656503.0,505.01,75.0
5,Nonresidential COS,Other,7,Downtown,1999,1.0,2.0,97288,37198,60090,Police Station,88830.0,0.0,0.0,12581712.0,301.81,
6,NonResidential,Hotel,7,Downtown,1926,1.0,11.0,83008,0,83008,Hotel,81352.0,0.0,0.0,6062767.5,176.14,27.0
7,NonResidential,Other,7,Downtown,1926,1.0,8.0,102761,0,102761,Other - Entertainment/Public Assembly,102761.0,0.0,0.0,7067881.5,221.51,
8,NonResidential,Hotel,7,Downtown,1904,1.0,15.0,163984,0,163984,Hotel,163984.0,0.0,0.0,14194054.0,392.16,43.0
9,Multifamily MR (5-9),Mid-Rise Multifamily,7,Downtown,1910,1.0,6.0,63712,1496,62216,Multifamily Housing,56132.0,0.0,0.0,4807679.5,151.12,1.0
10,NonResidential,Hotel,7,Downtown,1969,1.0,11.0,153163,19279,133884,Hotel,133884.0,0.0,0.0,16646930.0,691.26,30.0
11,NonResidential,Hotel,7,Downtown,1998,1.0,25.0,333176,61161,272015,Hotel,336640.0,0.0,0.0,27070114.0,740.97,36.0
12,NonResidential,Hotel,7,Downtown,1928,1.0,9.0,65009,0,65009,Hotel,65009.0,0.0,0.0,6358719.5,328.23,48.0
13,NonResidential,Hotel,7,Downtown,1980,1.0,33.0,315952,57600,258352,Hotel,295511.0,57600.0,0.0,22524948.0,648.62,58.0
14,NonResidential,Hotel,7,Downtown,1922,1.0,11.0,92190,25200,66990,Hotel,67390.0,25200.0,0.0,11179203.0,511.39,35.0
15,Nonresidential COS,Other,7,Downtown,2004,1.0,11.0,412000,57000,355000,Library,364913.0,49000.0,1074.0,18706912.0,181.38,
16,NonResidential,Other,7,Downtown,1930,1.0,6.0,103911,0,103911,Fitness Center/Health Club/Gym,90000.0,40000.0,0.0,10192124.0,433.86,
